German Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Schnitzel,Schnitzel,Schnitzel,Breaded and fried cutlet of meat,"Gepaneerd en gebakken vlees, vaak kalf of varken",€12-18,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=schnitzel%20german&tbm=isch
Sauerbraten,Sauerbraten,Sauerbraten,Marinated roast beef in sweet-sour sauce,"Gemarineerd rundvlees in zoetzure saus, traditioneel gerecht",€14-20,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=sauerbraten%20german&tbm=isch
Bratwurst,Bratwurst,Bratwurst,Grilled German sausage,"Duitse worst, meestal geserveerd met mosterd en broodje",€6-10,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=bratwurst%20german&tbm=isch
Sauerkraut,Sauerkraut,Zuurkool,Fermented cabbage,"Gefermenteerde kool, populaire bijgerecht",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=sauerkraut%20german&tbm=isch
Pretzels,Pretzels,Pretzels,Traditional twisted bread,"Traditioneel gedraaid brood met grof zout",€2-4,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=german%20pretzels&tbm=isch
Spätzle,Spätzle,Spätzle,Soft egg noodles,"Zachte ei-noedels, populaire bijgerecht",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=spaetzle%20german&tbm=isch
Goulash,Goulash,Goulash,Hearty stew with meat and vegetables,"Hartige stoofpot met vlees en groenten",€10-14,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=german%20goulash&tbm=isch
Strudel,Strudel,Strudel,Layered pastry with sweet filling,"Gelaagd gebak met zoete vulling, meestal appel",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=german%20strudel&tbm=isch
Eisbein,Pork Knuckle,Varkensknokkel,Roasted pork knuckle,"Geroosterde varkensknokkel, traditioneel gerecht",€16-22,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=eisbein%20german&tbm=isch
Kartoffelsalat,Potato Salad,Aardappelsalade,German-style potato salad,"Duitse aardappelsalade, meestal met azijn en ui",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=kartoffelsalat%20german&tbm=isch
Leberwurst,Liver Sausage,Leverworst,Liver sausage spread,"Leverworst, vaak geserveerd op brood",€4-6,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=leberwurst%20german&tbm=isch
Rollmops,Rollmops,Rollmops,Pickled herring fillets,"Ingelegde haringfilets, traditionele snack",€3-5,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=rollmops%20german&tbm=isch
Käsespätzle,Cheese Spätzle,Kaas Spätzle,Spätzle with cheese and onions,"Spätzle met kaas en ui, comfort food",€6-8,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=kaesespaetzle%20german&tbm=isch
Rouladen,Rouladen,Rouladen,Rolled beef with filling,"Opgerolde rundvlees met vulling van augurk en ui",€12-16,FALSE,TRUE,FALSE,FALSE,FALSE,https://www.google.com/search?q=rouladen%20german&tbm=isch
Weisswurst,White Sausage,Witte Worst,Bavarian white sausage,"Beierse witte worst, traditioneel ontbijt",€6-8,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.google.com/search?q=weisswurst%20german&tbm=isch